2020-04-22 18:41:26 Debug: Notice (8): Undefined variable: params in [C:\cake\libs\model\model.php, line 574]
2020-04-23 19:07:29 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 27]
2020-04-23 19:07:29 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-23 19:07:29 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 30]
2020-04-23 19:07:35 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 27]
2020-04-23 19:07:35 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-23 19:07:35 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 30]
2020-04-24 17:13:00 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 2597 bytes in [C:\cake\libs\cache\file.php, line 190]
2020-04-24 17:13:00 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 2597 bytes in [C:\cake\libs\cache\file.php, line 190]
2020-04-27 18:10:35 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 1161 bytes in [C:\cake\libs\cache\file.php, line 190]
2020-04-27 18:10:35 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 1161 bytes in [C:\cake\libs\cache\file.php, line 190]
2020-04-27 18:43:07 Debug: Notice (8): Undefined index: student_id in [C:\wamp\www\ser\api\controllers\scholastic_records_controller.php, line 8]
2020-04-27 18:43:08 Debug: Notice (8): Undefined variable: max_ylid in [C:\wamp\www\ser\api\controllers\scholastic_records_controller.php, line 33]
2020-04-27 18:43:08 Debug: Notice (8): Undefined index:  in [C:\wamp\www\ser\api\controllers\scholastic_records_controller.php, line 33]
2020-05-04 19:09:17 Debug: Notice (8): Undefined variable: specialSubjects in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 11]
2020-05-04 19:09:17 Debug: Notice (8): Undefined variable: specialSubjects in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 36]
2020-05-04 19:09:21 Debug: Notice (8): Undefined variable: specialSubjects in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 11]
2020-05-04 19:09:21 Debug: Notice (8): Undefined variable: specialSubjects in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 36]
2020-05-04 19:10:13 Debug: Notice (8): Undefined variable: specialSubjects in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 9]
2020-05-04 19:10:48 Debug: Notice (8): Undefined variable: specialSubjects in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 9]
2020-05-04 19:12:45 Debug: Notice (8): Undefined variable: specialSubjects in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 9]
2020-05-04 19:12:58 Debug: Notice (8): Undefined variable: specialSubjects in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 9]
2020-05-04 19:13:21 Debug: Notice (8): Undefined variable: specialSubjects in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 9]
2020-05-04 19:14:44 Debug: Notice (8): Undefined variable: specialSubjects in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 9]
2020-05-04 19:16:32 Debug: Notice (8): Undefined index: Student in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 16]
2020-05-04 19:16:32 Debug: Notice (8): Undefined index: Section in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 25]
2020-05-04 19:17:07 Debug: Notice (8): Undefined index: Student in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 16]
2020-05-04 19:17:07 Debug: Notice (8): Undefined index: Section in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 25]
